Id,ShortName,LongName
648,875,"Wagner - Millgate TC"
649,877,"JH Picard - Mill Woods TC"
650,877,"JH Picard - Mill Woods"
651,878,"Hardisty - Jackson Hts - Kiniski - MWTC"
652,878,"Hardisty - Jackson Hts - Kiniski - MWTC"
653,879,"Ottewell - Millgate"
654,879,"Ottewell - Millgate"
655,880,"Kenilworth - Hazeldean - Mill Woods TC"
656,880,"Kenilworth - Hazeldean - Mill Woods"
657,881," McNally - Hardisty - Capilano"
658,881," McNally - Hardisty - Capilano"
659,882,"Kenilworth - Mill Woods TC"
660,882,"Kenilworth - Mill Woods"
661,883,"Vernon Barford to Twin Brooks"
662,883,"Vernon Barford to Twin Brooks"
663,884,"Wagner - Lakewood - Knottwood"
664,884,"Wagner - Lakewood - Knottwood"
665,885,"Century Park - South Campus"
666,885,"Century Park - S. Campus-Ft. Edm"
667,886,"Avalon - Southgate"
668,886,"Avalon - Southgate"
669,887,"DS MacKenzie - Twin Brooks"
670,887,"DS MacKenzie - Twin Brooks"
671,888,"Vernon Barford - Century Park Rt 40 OL"
672,888,"Vernon Barford - Century Park Rt 40 OL"
673,889,"Harry Ainlay - DS MacKenzie - Yellowbird"
674,889,"Harry Ainlay - DS MacKenzie - Yellowbird"
675,890,"Strathcona - Southgate"
676,890,"Strathcona - Southgate"
677,892,"Harry Ainlay - L St Laurent - Yellowbird"
678,892,"Harry Ainlay - L St Laurent - Yellowbird"
679,893,"Harry Ainlay - L St Laurent - MWTC"
680,893,"Harry Ainlay - L St Laurent - MWTC"
681,894,"Allendale-Strathcona-Millgate via Richie"
682,894,"Allendale-Strathcona-Millgate via Richie"
683,895,"104 St & 82 Av - Southgate"
684,895,"104 St & 82 Av - Southgate"
685,896,"Riverbend  - Bulyea Heights - Leger"
686,896,"Riverbend  - Bulyea Heights - Leger"
687,897,"Lakewood - Wild Rose - Millgate"
688,897,"Lakewood - Wild Rose - Millgate"
689,898,"Strathcona-Millgate TC-Mill Woods TC"
690,898,"Strathcona-Millgate TC-Mill Woods"
691,899,"JP Comp - St Francis Xavier - LaPerle - WEM"
692,899,"JP Comp - St Francis Xavier - LaPerle - WEM"
693,901,"Arch Mac - NGTE - Eaux Claires"
694,901,"Arch Mac - NGTE - Eaux Claires"
695,903,"St Cecilia - O'Leary - Balwin - Clareview"
696,903,"St Cecilia - O'Leary - Balwin - Clareview"
697,907,"Strathcona - Rhatigan - Rabbit Hill"
698,907,"Strathcona - Rhatigan - Rabbit Hill"
699,908,"Eastglen - Fraser"
700,908,"Eastglen - Fraser"
701,909,"Eastglen - Queen Elizabeth - Eaux Claires"
702,909,"Eastglen - Queen Elizabeth - Eaux Claires"
703,913,"Ross Sheppard - Eaux Claires"
704,913,"Ross Sheppard - Eaux Claires"
705,914,"Ross Sheppard - Wellington - Oxford"
706,914,"Ross Sheppard - Wellington - Oxford"
707,916,"R Shep - Dunluce - Baturyn"
708,916,"R Shep - Dunluce - Baturyn"
709,917,"Father Michael Troy - Kiniski - Jackson Heights"
710,917,"Father Michael Troy - Kiniski - Jackson Heights"
711,919,"Eastglen - Abbottsfield"
712,919,"Eastglen - Abbottsfield"
713,921,"McNally - Silverberry"
714,921,"McNally - Silverberry"
715,922,"Arch Mac - Riverbend - Leger"
716,922,"Arch Mac - Riverbend - Leger"
717,923,"SGTE - Harry Ainlay - Twin Brooks"
718,923,"SGTE - Harry Ainlay - Twin Brooks"
719,924,"Dan Knott-St Clement - Lakewood-MWTC"
720,924,"Dan Knott-St Clement - Lakewood-MWTC"
721,925,"Strathcona - Belgravia - Windsor Park"
722,925,"Strathcona - Belgravia - Windsor Park"
723,926,"Ottewell - Univ - WEM"
724,926,"Ottewell - Univ - WEM"
725,931,"ME LaZerte - Ozerna-Lago Lindo - Klarvatten"
726,931,"ME LaZerte - Ozerna-Lago Lindo - Klarvatten"
727,932,"Londonderry-Clareview"
728,932,"Londonderry-Clareview"
729,934,"ME LaZerte - Baturyn - Dunluce"
730,934,"ME LaZerte - Baturyn - Dunluce"
731,935,"Steele Heights - JJ Bowlen - Matt Berry"
732,935,"Steele Heights - JJ Bowlen - Matt Berry"
733,939,"Mary Butterworth - Elsinore"
734,939,"Mary Butterworth - Elsinore"
735,940,"Amiskwaciy - Abbottsfield"
736,940,"Amiskwaciy - Abbottsfield"
737,941,"Austin O'Brien - Abbottsfield"
738,941,"Austin O'Brien - Abbottsfield"
739,943,"Austin O'Brien - Coliseum - Belvedere"
740,943,"Austin O'Brien - Coliseum - Belvedere"
741,945,"88 St & 132 Ave - Eaux Claires"
742,945,"88 St & 132 Ave - Eaux Claires"
743,950,"Hillcrest - HE Beriault - Lymburn - Ormsby"
744,950,"Hillcrest - HE Beriault - Lymburn - Ormsby"
745,952,"FX & JP- Rio Terrace - Parkview - Crestwood"
746,952,"FX & JP- Rio Terrace - Parkview - Crestwood"
747,953,"JP - WEM - Lymburn - Ormsby"
748,953,"JP - WEM - Lymburn - Ormsby"
749,954,"JP -WEM - Callingwood - Wedgewood"
750,954,"JP -WEM - Callingwood - Wedgewood"
751,955,"Jasper Place - WEM - LaPerle"
752,955,"Jasper Place - WEM - LaPerle"
753,956,"Jasper Place - Grange"
754,956,"Jasper Place - Grange"
755,957,"Oscar Romero - S Bruce Smith - Grange"
756,957,"Oscar Romero - S Bruce Smith - Grange"
757,958,"Jasper Place - WEM"
758,958,"Jasper Place - WEM"
759,959,"Oscar Romero - S Bruce Smith - WEM"
760,959,"Oscar Romero - S Bruce Smith - WEM"
761,960,"Jasper Place - WEM"
762,960,"Jasper Place - WEM"
763,961,"Jasper Place - WEM - Lewis Farms"
764,965,"Braemar - Downtown"
765,965,"Braemar - Downtown"
766,966,"Ottewell-AOB - Kiniski Gdn-Southwood-MWTC"
767,966,"Ottewell-AOB - Kiniski Gdn-Southwood-MWTC"
768,967,"Riverbend - Bulyea Heights - Leger"
769,967,"Riverbend - Bulyea Heights - Leger"
770,968,"St Rose - Leger"
771,968,"St Rose - Leger"
772,969,"Riverbend  - Leger TC"
773,969,"Riverbend  - Leger"
774,971,"McNally - Jackson Hts - Larkspur - MDOW"
775,971,"McNally - Jackson Hts - Meadows"
776,972,"Ainlay to MacEwan & Rutherford"
777,972,"H. Ainlay - Rutherford"
778,973,"Leger - South Terwillegar - Magrath"
779,973,"Leger - South Terwillegar - Magrath"
780,976,"Riverbend - Leger - Century Park"
781,976,"Riverbend - Leger - Century Park"
782,977,"MWTC-Kate Chegwin-Kiniski - Larkspur-Mdow"
783,977,"Mill Woods - Meadows"
784,979,"Century Park-MWTC"
785,979,"Century Park - Mill Woods"
