Id,ShortName,LongName
152,92,"Millgate - Pylypow Industrial"
153,94,"University - Capilano"
154,94,"University - Capilano"
155,95,"Mill Woods TC - Laurel - Meadows TC"
156,95,"Mill Woods - Laurel - Meadows"
157,97,"Mill Woods TC - MacEwan - NAIT"
158,97,"Mill Woods - MacEwan - NAIT"
159,98,"NAIT - West Edmonton Mall"
160,98,"NAIT - West Edmonton Mall"
161,99,"Capilano - Coliseum - Belvedere"
162,99,"Capilano - Coliseum - Belvedere"
163,100,"Lewis Farms - Downtown"
164,100,"Lewis Farms - Downtown"
165,101,"West Edmonton Mall - Wedgewood"
166,101,"West Edmonton Mall - Wedgewood"
167,102,"West Edmonton Mall - Lymburn"
168,102,"West Edmonton Mall - Lymburn"
169,103,"West Edmonton Mall - Cameron Heights"
170,103,"West Edmonton Mall - Cameron Heights"
171,104,"West Lymburn - South Campus"
172,104,"West Lymburn - S. Campus-Ft. Edm"
173,105,"Lessard - South Campus"
174,105,"Lessard - S. Campus-Ft. Edm"
175,106,"University - Lessard"
176,106,"University - Lessard"
177,107,"West Edmonton Mall - Wolf Willow Loop"
178,107,"West Edmonton Mall - Wolf Willow Loop"
179,108,"Lewis Farms - Potter Greens"
180,108,"Lewis Farms - Potter Greens"
181,109,"WEM - Jasper Place - Downtown"
182,109,"WEM - Jasper Place - Downtown"
183,110,"West Edm Mall - Wolf Willow - Lessard"
184,110,"WEM - Wolf Willow - Lessard"
185,111,"Downtown - West Edmonton Mall"
186,111,"Downtown - West Edmonton Mall"
187,112,"West Edmonton Mall - Capilano"
188,112,"West Edmonton Mall - Capilano"
189,113,"West Edmonton Mall - Jasper Place"
190,113,"West Edmonton Mall - Jasper Place"
191,114,"Jasper Place - Westview Village"
192,114,"Jasper Place - Westview Village"
193,115,"West Edmonton Mall - Northgate"
194,115,"West Edmonton Mall - Northgate"
195,117,"Lewis Farms - Hamptons"
196,117,"Lewis Farms - Hamptons"
197,118,"Jasper Place TC - Rio Terrace"
198,118,"Jasper Place - Rio Terrace"
199,119,"Lewis Farms - Hamptons"
200,119,"Lewis Farms - Hamptons"
201,120,"Jasper Place - Stadium"
202,120,"Jasper Place - Stadium"
203,121,"Westmount - Northgate"
204,121,"Westmount - Northgate"
205,122,"Westmount - West Edmonton Mall"
206,122,"Westmount - West Edmonton Mall"
207,123,"Jasper Place - Westmount"
208,123,"Jasper Place - Westmount"
209,124,"Westmount - Jasper Place"
210,124,"Westmount - Jasper Place"
211,125,"Belvedere - Westmount - Jasper Place"
212,125,"Belvedere - Westmount - Jasper Place"
213,126,"West Edmonton Mall - Westmount"
214,126,"West Edmonton Mall - Westmount"
215,128,"Castle Downs - Government Centre"
216,128,"Castle Downs - Government Centre"
217,129,"West Edmonton Mall - Westmount"
218,129,"West Edmonton Mall - Westmount"
219,130,"Northgate - Government Centre"
220,130,"Northgate - Government Centre"
221,133,"Lewis Farms to University Express"
222,133,"Lewis Farms - University"
223,134,"Northgate - Downtown"
224,134,"Northgate - Downtown"
225,136,"Lewis Estates - Lewis Farms"
226,136,"Lewis Estates - Lewis Farms"
227,137,"West Edmonton Mall - Clareview"
228,137,"West Edmonton Mall - Clareview"
229,138,"Wedgewood - South Campus"
230,138,"Wedgewood - S. Campus-Ft. Edm"
231,139,"The Grange to South Campus"
232,139,"The Grange to S. Campus-Ft. Edm"
233,140,"Northgate - Lago Lindo - Downtown"
234,140,"Northgate - Lago Lindo - Downtown"
235,141,"Coliseum - Abbottsfield"
236,141,"Coliseum - Abbottsfield"
237,142,"Coliseum - Abbottsfield"
238,142,"Coliseum - Abbottsfield"
239,143,"Kingsway/RAH - Coliseum - Montrose"
240,143,"Kingsway-RAH - Coliseum - Montrose"
241,145,"Eaux Claires - Lago Lindo"
242,145,"Eaux Claires - Lago Lindo"
243,149,"Eaux Claires- Clareview Late night"
244,149,"Eaux Claires - Clareview"
245,150,"Eaux Claires - West Edmonton Mall"
246,150,"Eaux Claires - West Edmonton Mall"
247,151,"Castle Downs-Downtown-King Edward Pk"
248,151,"Castle Downs-Downtown-King Edward Pk"
249,152,"Northgate - Belvedere"
250,152,"Northgate - Belvedere"
251,153,"Belvedere - Northgate"
252,153,"Belvedere - Northgate"
253,154,"Northgate - Belvedere"
254,154,"Northgate - Belvedere"
255,160,"Oxford - Governnment Centre"
256,160,"Oxford - Governnment Centre"
257,161,"Castle Downs - Northgate"
258,161,"Castle Downs - Northgate"
259,162,"Castle Downs - Eaux Claires"
260,162,"Castle Downs - Eaux Claires"
261,163,"Eaux Claires - Chambery"
262,163,"Eaux Claires - Chambery"
263,164,"Northgate - Rapperswill"
264,164,"Northgate - Rapperswill"
265,165,"Castle Downs - 85 St & 132 Av"
266,165,"Castle Downs - 85 St & 132 Av"
267,167,"Castle Downs - 95 St & 132 Av"
268,167,"Castle Downs - 95 St & 132 Av"
269,168,"Northgate - Cumberland"
270,168,"Northgate - Cumberland"
271,169,"Northgate - Canossa"
272,169,"Northgate - Canossa"
273,180,"Abbottsfield - Eaux Claires"
274,180,"Abbottsfield - Eaux Claires"
275,181,"Clareview - Belvedere"
276,181,"Clareview - Belvedere"
277,182,"Northgate - Fraser"
278,182,"Northgate - Fraser"
279,183,"Abbottsfield - Clareview"
280,183,"Abbottsfield - Clareview"
281,184,"Clareview - Alberta Hosp - Evergreen"
282,184,"Clareview - Alberta Hosp - Evergreen"
283,185,"Clareview - Abbottsfield"
284,185,"Clareview - Abbottsfield"
285,186,"Northgate - Fraser"
286,186,"Northgate - Fraser"
287,187,"Clareview - Clareview Rd/132A Ave"
288,187,"Clareview - Clareview Rd/132A Ave"
289,188,"Clareview - Eaux Claires"
290,188,"Clareview - Eaux Claires"
291,190,"Clareview - Eaux Claires"
292,190,"Clareview - Eaux Claires"
293,191,"Eaux Claires - Klarvatten"
294,191,"Eaux Claires - Klarvatten"
295,192,"Clareview - Brintnell"
296,192,"Clareview - Brintnell"
297,193,"Clareview - Brintnell"
298,193,"Clareview - Brintnell"
299,194,"Schonesee - Eaux Claires"
300,194,"Schonesee - Eaux Claires"
301,195,"Clareview - McConachie"
302,195,"Clareview - McConachie"
303,301,"Southgate - Century Park"
304,301,"Southgate - Century Park"
305,302,"Clareview - Alberta Hosp - Evergreen"
306,302,"Clareview - Alberta Hosp - Evergreen"
307,303,"Northgate - Mistatim Industrial"
308,303,"Northgate - Mistatim Industrial"
309,304,"Southgate - Southpark Village"
310,304,"Southgate - Southpark Village"
311,305,"Westmount - Jasper Gates"
312,305,"Westmount - Jasper Gates"
313,306,"Maple Ridge-Meadows"
314,306,"Maple Ridge-Meadows"
315,307,"Bonnie Doon - Capilano - Gold Bar"
316,307,"Bonnie Doon - Capilano - Gold Bar"
317,308,"Riverdale - Downtown"
318,308,"Riverdale - Downtown"
319,309,"Riverdale -Kingsway/RAH"
320,309,"Riverdale - Kingsway-RAH"
321,310,"Jasper Place TC - Rio Terrace"
322,310,"Jasper Place - Rio Terrace"
323,311,"Jasper Place - West Edmonton Mall"
324,311,"Jasper Place - West Edmonton Mall"
325,312,"Northgate - Londonderry Mall"
326,312,"Northgate - Londonderry Mall"
327,315,"Lewis Farms - Winterburn Industrial"
328,315,"Lewis Farms - Winterburn Industrial"
329,317,"Jasper Place - Westview Village"
330,317,"Jasper Place - Westview Village"
331,318,"Windsor Park - University - Belgravia"
332,318,"Windsor Park - University - Belgravia"
333,319,"Southgate - Parkallen - Belgravia"
334,319,"Southgate - Parkallen - Belgravia"
335,321,"Millgate - Strathcona Industrial"
336,321,"Millgate - Strathcona Industrial"
337,322,"Bonnie Doon - Holyrood"
338,322,"Bonnie Doon - Holyrood"
339,323,"Bonnie Doon - Good Sam 96 St"
340,323,"Bonnie Doon - Good Sam 96 St"
341,324,"Century Park - Windermere - Ambleside"
342,324,"Century Park - Windermere - Ambleside"
343,325,"Leger - Windermere"
344,325,"Leger - Windermere"
345,331,"Century Park - Chappelle"
346,331,"Century Park - Chappelle"
347,333,"Lewis Farms - Rosenthal"
348,333,"Lewis Farms - Rosenthal"
349,339,"Century Park- Heritage Valley"
350,339,"Century Park - Heritage Valley"
351,340,"Mill Woods TC - Millgate"
352,340,"Mill Woods - Millgate"
353,347,"Century Park - Allard"
354,347,"Century Park - Allard"
355,361,"Mill Woods TC - Millgate"
356,361,"Mill Woods - Millgate"
357,362,"Mill Woods TC - Southwood"
358,362,"Mill Woods - Southwood"
359,363,"Mill Woods TC - Southwood"
360,363,"Mill Woods - Southwood"
361,370,"Millgate - Mill Woods TC"
362,370,"Millgate - Mill Woods"
363,381,"Hollick Kenyon - West Clareview"
364,381,"Hollick Kenyon - West Clareview"
365,399,"Coliseum - Concordia College"
366,399,"Coliseum - Concordia College"
367,501,"LRT Capital Line"
368,501,"LRT Capital Line"
369,502,"LRT Metro Line"
370,502,"LRT Metro Line"
371,505,"Capital Line Replacement Service"
372,512,"LRT Late Night Service"
373,512,"LRT Late Night Service"
374,540,"Beaumont - Edmonton"
375,540,"Beaumont - Edmonton"
376,545,"Metro Line Replacement Service"
377,560,"Spruce Grove - Downtown"
378,560,"Spruce Grove - Downtown"
379,561,"Acheson - NAIT"
380,561,"Acheson - NAIT"
381,562,"Spruce Grove - Acheson - South Campus"
382,562,"Spruce Grove - Acheson - South Campus"
383,580,"Fort Saskatchewan Commuter"
384,580,"Fort Saskatchewan Commuter"
385,589,"Edmonton Waste Management Centre"
386,589,"Edmonton Waste Management Centre"
387,599,"Eaux Claires - Edmonton Garrison"
388,599,"Eaux Claires - Edmonton Garrison"
389,601,"Wedgewood - Ross Shep - Arch Mac"
390,601,"Wedgewood - Ross Shep - Arch Mac"
391,602,"Ormsby - LaPerle - Ross Shep - Arch Mac"
392,602,"Ormsby - LaPerle - Ross Shep - Arch Mac"
393,603,"McConachie - Clareview"
394,603,"McConachie - Clareview"
395,606,"Carlton - Shep - Arch Mac"
396,606,"Carlton - Shep - Arch Mac"
397,607,"Hudson - Shep - Arch Mac"
398,607,"Hudson - Shep - Arch Mac"
399,609,"Castle Downs - Ross Shep - Arch Mac"
400,609,"Castle Downs - Ross Shep - Arch Mac"
401,610,"Rapperswill - Ross Shep - Arch Mac"
402,610,"Rapperswill - Ross Shep - Arch Mac"
403,612,"Albany - Ross Shep - Arch Mac"
404,612,"Albany - Ross Shep - Arch Mac"
405,613,"Rutherford - Century Park"
406,613,"Rutherford - Century Park"
407,617,"Klarvatten - Cardinal Leger"
408,617,"Klarvatten - Cardinal Leger"
409,618,"Brintnell- JJ Bowlen"
410,618,"Brintnell- JJ Bowlen"
411,620,"Belvedere - Coliseum - Austin O'Brien"
412,620,"Belvedere - Coliseum - Austin O'Brien"
413,621,"Abbottsfield - Austin O'Brien"
414,621,"Abbottsfield - Austin O'Brien"
415,635,"Westmount - Downtown"
416,635,"Westmount - Downtown"
417,689,"Windsor Park - Belgravia - Strathcona"
418,689,"Windsor Park - Belgravia - Strathcona"
419,697,"Leger - Riverbend - South Campus-Fort Edm Park"
420,697,"Leger - Riverbend - S. Campus-Ft. Edm"
421,698,"Jackson Heights - Father Michael Troy"
422,698,"Jackson Heights - Father Michael Troy"
423,701,"Belmead - WEM"
424,701,"Belmead - WEM"
425,703,"Crestwood-Parkview-Rio Terrace-JP & FX"
426,703,"Crestwood-Parkview-Rio Terrace-JP & FX"
427,705,"LWFM - WEM - JP Comp - St F X - W.lawn"
428,705,"LWFM - WEM - JP Comp - St F X - W.lawn"
429,706,"Jasper Place-St Francis Xavier - JP Comp"
430,706,"Jasper Place-St Francis Xavier - JP Comp"
431,707,"Potter Greens-Hamp-S.Smith-Oscar Romero"
432,707,"Potter Greens-Hamp-S.Smith-Oscar Romero"
433,708,"WEM-LaPerle-St.More - St FX - Jasper Pl"
434,708,"WEM-LaPerle-St.More - St FX - Jasper Pl"
435,709,"Meadowlark - Downtown"
436,709,"Meadowlark - Downtown"
437,710,"WEM - Arch Mac - Ross Shep"
438,710,"WEM - Arch Mac - Ross Shep"
439,711,"Lewis Farms-WEM - Hillcrest - A. Mac - Shep"
440,711,"Lewis Farms-WEM - Hillcrest - A. Mac - Shep"
441,712,"Ormsby - HE Beriault"
442,712,"Ormsby - HE Beriault"
443,717,"WEM - Victoria"
444,717,"WEM - Victoria"
445,723,"Terwillegar - Strathcona"
446,723,"Terwillegar - Strathcona"
447,725,"St. Joseph - Government Centre"
448,725,"St. Joseph - Government Centre"
449,726,"Leger - St Rose - Arch Mac - Ross Shep"
450,726,"Leger - St Rose - Arch Mac - Ross Shep"
451,728,"Brookside - Brander Gardens - Strathcona"
452,728,"Brookside - Brander Gardens - Strathcona"
453,729,"Leger - Strathcona"
454,729,"Leger - Strathcona"
455,730,"Eaux Claires TC - Ross Shep - Arch Mac"
456,730,"Eaux Claires - Ross Shep - Arch Mac"
457,731,"Kingsway - RAH - Westmount"
458,731,"Kingsway-RAH - Westmount"
459,734,"Lago Lindo - M Butterworth"
460,734,"Lago Lindo - M Butterworth"
461,735,"WEM - University Rt 4 OL"
462,735,"WEM - University Rt 4 OL"
463,738,"Leger - Henderson Estates - South Campus"
464,738,"Leger - S. Campus-Ft. Edm"
465,739,"Lendrum - University"
466,739,"Lendrum - University"
467,744,"Matt Berry - O'Leary - Queen Elizabet"
468,744,"Matt Berry - O'Leary - Queen Elizabet"
469,747,"Century Park - Int Airport"
470,747,"Century Park - Int Airport"
471,748,"Lago Lindo - Dickensfield - Cardinal Leger"
472,748,"Lago Lindo - Dickensfield - Cardinal Leger"
473,750,"Northgate - Queen E - O'Leary - Eastglen"
474,750,"Northgate - Queen E - O'Leary - Eastglen"
475,753,"Londonderry - Northgate"
476,753,"Londonderry - Northgate"
477,755,"Oxford - Queen E - O'Leary"
478,755,"Oxford - Queen E - O'Leary"
479,756,"Castle Downs - ME LaZerte"
480,756,"Castle Downs - ME LaZerte"
481,757,"Calder - Westmount - Government Centre"
482,757,"Calder - Westmount - Government Centre"
483,760,"Wild Rose - Kenilworth - McNally"
484,760,"Wild Rose - Kenilworth - McNally"
485,761,"Millgate-Strathcona via Ritchie"
486,761,"Millgate-Strathcona via Ritchie"
487,763,"Bonnie Doon - University"
488,763,"Bonnie Doon - University"
489,765,"Rabbit Hill-Rhatigan - Strathcona"
490,765,"Rabbit Hill-Rhatigan - Strathcona"
491,767,"Mill Woods TC-Millgate TC-Strathcona"
492,767,"Mill Woods - Millgate - Strathcona"
493,768,"Mill Woods - Lakewood - Wagner"
494,768,"Mill Woods - Lakewood - Wagner"
495,769,"Mill Woods - Woodvale - Wagner"
496,769,"Mill Woods - Woodvale - Wagner"
497,773,"Mill Woods - Greenview - Wagner"
498,773,"Mill Woods - Greenview - Wagner"
499,774,"Wild Rose - AOB - Hardisty"
500,774,"Wild Rose - AOB - Hardisty"
501,776,"Mill Woods - McNally"
502,776,"Mill Woods - McNally"
503,777,"Meadows - Mill Woods"
504,777,"Meadows - Mill Woods"
505,778,"MWTC - Silverberry - Larkspur - McNally"
506,778,"MWTC - Silverberry - Larkspur - McNally"
507,779,"MWTC - S.Berry - Larkspur -AOB - Hardisty"
508,779,"MWTC - S.Berry - Larkspur -AOB - Hardisty"
509,780,"MWTC-Southwood-Kiniski-AOB-Hardisty"
510,780,"MWTC-Southwood-Kiniski-AOB-Hardisty"
511,781,"Millgate - McNally"
512,781,"Millgate - McNally"
513,782,"Mill Woods-Woodvale -Ottewell-Kenilworth"
514,782,"Mill Woods-Woodvale -Ottewell-Kenilworth"
515,783,"Woodvale - Kenilworth"
516,783,"Woodvale - Kenilworth"
517,784,"Wild Rose - Larkspur - McNally"
518,784,"Wild Rose - Larkspur - McNally"
519,785,"Wild Rose-Larkspur-Kiniski-Hardisty"
520,785,"Wild Rose-Larkspur-Kiniski-Hardisty"
521,786,"Southgate - Avalon"
522,786,"Southgate - Avalon"
523,788,"Southgate - Strathcona"
524,788,"Southgate - Strathcona"
525,789,"Southwood - Millhurst - Wagner"
526,789,"Southwood - Millhurst - Wagner"
527,790,"Bearspaw - MacKenzie - Louis St Laurent"
528,790,"Bearspaw - MacKenzie - Louis St Laurent"
529,791,"Rutherford - MacEwan - H Ainlay - SGTE"
530,791,"Rutherford - MacEwan - H Ainlay - SGTE"
531,793,"Mill Woods - Harry Ainlay"
532,793,"Mill Woods - Harry Ainlay"
533,795,"Twin Brooks - Harry Ainlay - Southgate"
534,795,"Twin Brooks - Harry Ainlay - Southgate"
535,796,"Fraser - Eastglen"
536,796,"Fraser - Eastglen"
537,799,"Leger - Bulyea Heights - Riverbend"
538,799,"Leger - Bulyea Heights - Riverbend"
539,800,"Queen E. - O'Leary - Matt Berry"
540,800,"Queen E. - O'Leary - Matt Berry"
541,802,"Jasper Place Comp - Ross Shep"
542,802,"Jasper Place Comp - Ross Shep"
543,803,"S Bruce Smith -Lymburn - Ormsby"
544,803,"S Bruce Smith -Lymburn - Ormsby"
545,804,"Arch Mac -WEM - Alder-Belmead-LaPerle"
546,804,"Arch Mac -WEM - Alder-Belmead-LaPerle"
547,805,"St FX-St More-Westlawn - WEM"
548,805,"St FX-St More-Westlawn - WEM"
549,807,"HE Beriault - WEM"
550,807,"HE Beriault - WEM"
551,808,"JP Comp - St Francis Xavier - Jasper Place"
552,808,"JP Comp - St Francis Xavier - Jasper Place"
553,809,"Hillcrest - WEM"
554,809,"Hillcrest - WEM"
555,810,"St Rose - WEM"
556,810,"St Rose - WEM"
557,811,"Parkview - Crestwood - Belmead - WEM"
558,811,"Parkview - Crestwood - Belmead - WEM"
559,812,"Parkview - Belmead - LaPerle"
560,812,"Parkview - Belmead - LaPerle"
561,814,"Ross Shep - WEM"
562,814,"Ross Shep - WEM"
563,815,"Arch Mac - WEM"
564,815,"Arch Mac - WEM"
565,818,"HE Beriault - Lymburn - Ormsby"
566,818,"HE Beriault - Lymburn - Ormsby"
567,819,"Westmount - West Edmonton Mall"
568,819,"Westmount - West Edmonton Mall"
569,820,"LY Cairns - Southgate"
570,820,"LY Cairns - Southgate"
571,821,"Crestwood - Parkview - WEM"
572,821,"Crestwood - Parkview - WEM"
573,822,"NGTE- NAIT - Victoria - Downtown"
574,822,"NGTE- NAIT - Victoria - Downtown"
575,824,"Victoria - WEM - Lewis Farms"
576,824,"Victoria - WEM - Lewis Farms"
577,825,"Victoria - Northgate"
578,825,"Victoria - Northgate"
579,826,"Strathcona - Bulyea Heights - Leger"
580,826,"Strathcona - Bulyea Heights - Leger"
581,828,"Strathcona - Ramsay Heights - Brookside"
582,828,"Strathcona - Ramsay Heights - Brookside"
583,829,"Strathcona - Leger"
584,829,"Strathcona - Leger"
585,830,"McNally - Downtown"
586,830,"McNally - Downtown"
587,832,"Arch Mac - Oxford - Castle Downs"
588,832,"Arch Mac - Oxford - Castle Downs"
589,835,"Amiskwaciy - Northgate"
590,835,"Amiskwaciy - Northgate"
591,837,"Westmount - Stadium"
592,837,"Westmount - Stadium"
593,839,"Arch Mac - WEM"
594,839,"Arch Mac - WEM"
595,840,"Westmount - Castle Downs"
596,840,"Westmount - Castle Downs"
